information_action_id,information_action_type,sending_agent_id,receiving_agent_id,information_packet_id,endorsed_agent_id,change_in_amplification,tick,simulation_id
InfoAct_id_1,amplify,Delfi LT (delfi.lt),B-ID-9,IP-499,0,0,1,1
InfoAct_id_2,refute,Delfi LT (delfi.lt),B-ID-16,IP-439,0,0,1,1
InfoAct_id_3,refute,Delfi LT (delfi.lt),B-ID-21,IP-446,0,- 0.1,1,1
InfoAct_id_4,refute,Delfi LT (delfi.lt),B-ID-22,IP-477,0,- 0.1,1,1
InfoAct_id_5,amplify,Delfi LT (delfi.lt),B-ID-30,IP-427,0,+ 0.1,1,1
InfoAct_id_6,amplify,Delfi LT (delfi.lt),B-ID-32,IP-500,0,+ 0.1,1,1
InfoAct_id_7,refute,Delfi LT (delfi.lt),B-ID-33,IP-500,0,+ 0.1,1,1
InfoAct_id_8,refute,Delfi LT (delfi.lt),B-ID-35,IP-435,0,+ 0.1,1,1
InfoAct_id_9,refute,Delfi LT (delfi.lt),B-ID-36,IP-432,0,+ 0.1,1,1
InfoAct_id_10,amplify,Delfi LT (delfi.lt),B-ID-38,IP-459,0,+ 0.1,1,1
InfoAct_id_11,amplify,Delfi LT (delfi.lt),B-ID-40,IP-466,0,- 0.1,1,1
InfoAct_id_12,refute,Delfi LT (delfi.lt),B-ID-41,IP-491,0,- 0.1,1,1
InfoAct_id_13,refute,Delfi LT (delfi.lt),B-ID-43,IP-464,0,+ 0.1,1,1
InfoAct_id_14,amplify,Delfi LT (delfi.lt),B-ID-46,IP-427,0,+ 0.1,1,1
InfoAct_id_15,refute,Delfi LT (delfi.lt),B-ID-48,IP-493,0,+ 0.1,1,1
InfoAct_id_16,refute,Delfi LT (delfi.lt),B-ID-53,IP-491,0,- 0.1,1,1
InfoAct_id_17,amplify,Delfi LT (delfi.lt),B-ID-59,IP-428,0,+ 0.1,1,1
InfoAct_id_18,refute,Delfi LT (delfi.lt),B-ID-60,IP-437,0,+ 0.1,1,1
InfoAct_id_19,refute,Delfi LT (delfi.lt),B-ID-61,IP-457,0,- 0.1,1,1
