triad_id,triad_stack_id,identity_group_id,topic_id,stance,tick,simulation_id
Triad_ID_401,TS-B-ID-76,0,NATO military actions in Lithuania,-1.4999999999999998,0,0
Triad_ID_1284,TS-B-ID-59,0,NATO military actions in Lithuania,0.3000000000000001,0,0,07:05:49.205 PM 13-Mar-2023
Triad_ID_1,TS-B-ID-9,0,NATO military actions in Lithuania,-0.8,0,0
