information_action_id,information_action_type,sending_agent_id,receiving_agent_id,information_packet_id,endorsed_agent_id,change_in_amplification,tick,simulation_id
InfoAct_id_84,refute,B-ID-49,B-ID-26,IP-7,0,- 0.1,2,1
InfoAct_id_85,refute,B-ID-49,B-ID-27,IP-4,0,- 0.1,2,1
InfoAct_id_86,refute,B-ID-49,B-ID-30,IP-3,0,- 0.1,2,1
InfoAct_id_87,amplify,B-ID-49,B-ID-47,IP-2,0,+ 0.1,2,1
InfoAct_id_88,amplify,B-ID-49,B-ID-80,IP-4,0,+ 0.1,2,1
InfoAct_id_89,amplify,B-ID-49,B-ID-93,IP-9,0,+ 0.1,2,1
InfoAct_id_90,amplify,B-ID-49,GEN Vladimir Sergeyevich Mikhaylov,IP-4,0,+ 0.1,2,1
InfoAct_id_91,refute,B-ID-49,Audrius Ciuplys,IP-3,0,- 0.1,2,1
InfoAct_id_92,amplify,Ingrida Simonyte,B-ID-12,IP-428,0,+ 0.1,2,1
InfoAct_id_93,refute,Ingrida Simonyte,B-ID-45,IP-428,0,- 0.1,2,1
InfoAct_id_94,refute,Ingrida Simonyte,B-ID-48,IP-429,0,- 0.1,2,1
InfoAct_id_95,amplify,Ingrida Simonyte,B-ID-83,IP-427,0,+ 0.1,2,1
InfoAct_id_96,amplify,Ingrida Simonyte,Maria Yakubovskaya,IP-429,0,+ 0.1,2,1
InfoAct_id_97,refute,Ingrida Simonyte,Tadas Maroscikas,IP-427,0,- 0.1,2,1
InfoAct_id_98,refute,Egle Juzu,B-ID-22,IP-429,0,- 0.1,2,1
InfoAct_id_99,amplify,Egle Juzu,B-ID-30,IP-427,0,+ 0.1,2,1
InfoAct_id_100,refute,Egle Juzu,B-ID-75,IP-428,0,- 0.1,2,1
InfoAct_id_101,amplify,Egle Juzu,B-ID-76,IP-427,0,+ 0.1,2,1
InfoAct_id_102,refute,Egle Juzu,B-ID-94,IP-428,0,- 0.1,2,1
InfoAct_id_103,amplify,Egle Juzu,Austeja Landsbergiene,IP-429,0,+ 0.1,2,1
InfoAct_id_104,refute,Egle Juzu,MG Arkady Vilktotovich Bakhin,IP-427,0,- 0.1,2,1
InfoAct_id_105,amplify,B-ID-9,B-ID-25,IP-427,0,+ 0.1,2,1
InfoAct_id_106,refute,B-ID-9,B-ID-31,IP-427,0,- 0.1,2,1
InfoAct_id_107,amplify,B-ID-9,B-ID-96,IP-429,0,+ 0.1,2,1
InfoAct_id_108,amplify,B-ID-33,B-ID-29,IP-2,0,+ 0.1,2,1
InfoAct_id_109,refute,B-ID-33,B-ID-84,IP-5,0,- 0.1,2,1
InfoAct_id_110,amplify,B-ID-33,MAJ Ganushevich Artem Romanovich,IP-4,0,+ 0.1,2,1
InfoAct_id_111,amplify,B-ID-41,B-ID-5,IP-427,0,+ 0.1,2,1
InfoAct_id_112,amplify,B-ID-41,B-ID-6,IP-427,0,+ 0.1,2,1
InfoAct_id_113,amplify,B-ID-41,B-ID-33,IP-347,0,+ 0.1,2,1
InfoAct_id_114,refute,B-ID-41,B-ID-54,IP-427,0,- 0.1,2,1
InfoAct_id_115,amplify,B-ID-41,B-ID-67,IP-427,0,+ 0.1,2,1
InfoAct_id_116,amplify,B-ID-41,B-ID-101,IP-429,0,+ 0.1,2,1
InfoAct_id_117,amplify,B-ID-41,Valdemar Tomasevski,IP-429,0,+ 0.1,2,1
InfoAct_id_118,amplify,B-ID-41,Gintare Guzevi?i?t?,IP-427,0,+ 0.1,2,1
InfoAct_id_119,amplify,B-ID-41,Egle Juzu,IP-427,0,+ 0.1,2,1
InfoAct_id_120,refute,Paulius Keras,B-ID-71,IP-197,0,- 0.1,2,1
InfoAct_id_121,amplify,Paulius Keras,Deacon Audrius Jesinskas ROC,IP-198,0,+ 0.1,2,1
InfoAct_id_122,amplify,Paulius Keras,Virgis Bagdonas,IP-198,0,+ 0.1,2,1
InfoAct_id_123,amplify,B-ID-35,B-ID-26,IP-429,0,+ 0.1,2,1
InfoAct_id_124,amplify,B-ID-35,B-ID-36,IP-427,0,+ 0.1,2,1
InfoAct_id_125,amplify,B-ID-35,Austeja Landsbergiene,IP-427,0,+ 0.1,2,1
InfoAct_id_126,refute,B-ID-35,Gitanas Nauseda,IP-429,0,- 0.1,2,1
InfoAct_id_127,refute,Gabrielius Landsbergis,B-ID-18,IP-427,0,- 0.1,2,1
InfoAct_id_128,refute,Gabrielius Landsbergis,B-ID-27,IP-427,0,- 0.1,2,1
InfoAct_id_129,refute,Gabrielius Landsbergis,B-ID-45,IP-429,0,- 0.1,2,1
InfoAct_id_130,amplify,Gabrielius Landsbergis,B-ID-53,IP-427,0,+ 0.1,2,1
InfoAct_id_131,amplify,Gabrielius Landsbergis,B-ID-95,IP-429,0,+ 0.1,2,1
InfoAct_id_132,refute,Gabrielius Landsbergis,GEN Vladimir Sergeyevich Mikhaylov,IP-427,0,- 0.1,2,1
InfoAct_id_133,amplify,Audrius Ciuplys,B-ID-7,IP-9,0,+ 0.1,2,1
InfoAct_id_134,refute,Audrius Ciuplys,B-ID-11,IP-3,0,- 0.1,2,1
InfoAct_id_135,amplify,Audrius Ciuplys,B-ID-30,IP-9,0,+ 0.1,2,1
InfoAct_id_136,refute,Audrius Ciuplys,B-ID-70,IP-4,0,- 0.1,2,1
InfoAct_id_137,amplify,Audrius Ciuplys,B-ID-71,IP-4,0,+ 0.1,2,1
InfoAct_id_138,refute,Audrius Ciuplys,B-ID-84,IP-5,0,- 0.1,2,1
InfoAct_id_139,amplify,Audrius Ciuplys,B-ID-100,IP-9,0,+ 0.1,2,1
InfoAct_id_140,amplify,Audrius Ciuplys,B-ID-102,IP-3,0,+ 0.1,2,1
InfoAct_id_141,refute,Audrius Ciuplys,Andrius Tapinas,IP-9,0,- 0.1,2,1
InfoAct_id_142,amplify,Audrius Ciuplys,Ingrida Simonyte,IP-4,0,+ 0.1,2,1
InfoAct_id_143,refute,Audrius Ciuplys,GEN Vladimir Sergeyevich Mikhaylov,IP-3,0,- 0.1,2,1
InfoAct_id_144,amplify,Audrius Ciuplys,Sergey Kuzhugetovich Shoygu,IP-7,0,+ 0.1,2,1
InfoAct_id_145,refute,MG Arkady Vilktotovich Bakhin,B-ID-26,IP-198,0,- 0.1,2,1
InfoAct_id_146,refute,MG Arkady Vilktotovich Bakhin,B-ID-36,IP-4,0,- 0.1,2,1
InfoAct_id_147,refute,MG Arkady Vilktotovich Bakhin,B-ID-47,IP-2,0,- 0.1,2,1
InfoAct_id_148,amplify,MG Arkady Vilktotovich Bakhin,B-ID-59,IP-198,0,+ 0.1,2,1
InfoAct_id_149,refute,MG Arkady Vilktotovich Bakhin,B-ID-66,IP-2,0,- 0.1,2,1
InfoAct_id_150,refute,MG Arkady Vilktotovich Bakhin,B-ID-77,IP-3,0,- 0.1,2,1
InfoAct_id_151,refute,MG Arkady Vilktotovich Bakhin,Gitanas Nauseda,IP-5,0,- 0.1,2,1
InfoAct_id_152,amplify,MG Arkady Vilktotovich Bakhin,Ingrida Simonyte,IP-4,0,+ 0.1,2,1
InfoAct_id_153,refute,MG Arkady Vilktotovich Bakhin,Viktorija Smilyte-Nielsen,IP-9,0,- 0.1,2,1
InfoAct_id_154,amplify,MG Arkady Vilktotovich Bakhin,Archbishop Innokenty of Vilnius ROC,IP-9,0,+ 0.1,2,1
InfoAct_id_155,amplify,MG Arkady Vilktotovich Bakhin,Astchiek Melkonian,IP-3,0,+ 0.1,2,1
InfoAct_id_156,amplify,MG Arkady Vilktotovich Bakhin,MAJ Ganushevich Artem Romanovich,IP-2,0,+ 0.1,2,1
InfoAct_id_157,refute,B-ID-67,B-ID-35,IP-427,0,- 0.1,2,1
InfoAct_id_158,amplify,B-ID-67,B-ID-39,IP-429,0,+ 0.1,2,1
InfoAct_id_159,refute,B-ID-67,B-ID-75,IP-429,0,- 0.1,2,1
InfoAct_id_160,amplify,B-ID-67,B-ID-88,IP-427,0,+ 0.1,2,1
InfoAct_id_161,refute,B-ID-67,Andrius Tapinas,IP-427,0,- 0.1,2,1
InfoAct_id_162,amplify,B-ID-67,Archbishop Innokenty of Vilnius ROC,IP-427,0,+ 0.1,2,1
InfoAct_id_163,refute,B-ID-36,B-ID-38,IP-427,0,- 0.1,2,1
InfoAct_id_164,amplify,B-ID-36,B-ID-52,IP-429,0,+ 0.1,2,1
InfoAct_id_165,refute,B-ID-36,B-ID-61,IP-427,0,- 0.1,2,1
InfoAct_id_166,amplify,B-ID-36,B-ID-67,IP-427,0,+ 0.1,2,1
InfoAct_id_167,refute,B-ID-36,Ingrida Simonyte,IP-427,0,- 0.1,2,1
InfoAct_id_168,amplify,B-ID-36,COL-GEN Victor Borisovich Astapov,IP-429,0,+ 0.1,2,1
InfoAct_id_169,amplify,B-ID-32,B-ID-7,IP-427,0,+ 0.1,2,1
InfoAct_id_170,amplify,B-ID-32,B-ID-15,IP-427,0,+ 0.1,2,1
InfoAct_id_171,refute,B-ID-32,B-ID-21,IP-429,0,- 0.1,2,1
InfoAct_id_172,amplify,B-ID-32,B-ID-42,IP-429,0,+ 0.1,2,1
InfoAct_id_173,amplify,B-ID-32,B-ID-63,IP-427,0,+ 0.1,2,1
InfoAct_id_174,amplify,B-ID-32,B-ID-101,IP-427,0,+ 0.1,2,1
InfoAct_id_175,amplify,B-ID-32,GEN Vladimir Sergeyevich Mikhaylov,IP-427,0,+ 0.1,2,1
InfoAct_id_176,amplify,B-ID-62,Valdemar Tomasevski,IP-427,0,+ 0.1,2,1
InfoAct_id_177,refute,B-ID-62,Valdemar Tomasevski,IP-427,0,- 0.1,2,1
InfoAct_id_178,amplify,B-ID-61,B-ID-25,IP-427,0,+ 0.1,2,1
InfoAct_id_179,amplify,B-ID-61,B-ID-50,IP-429,0,+ 0.1,2,1
InfoAct_id_180,refute,B-ID-61,B-ID-51,IP-427,0,- 0.1,2,1
InfoAct_id_181,refute,B-ID-61,B-ID-53,IP-429,0,- 0.1,2,1
InfoAct_id_182,refute,B-ID-61,B-ID-56,IP-427,0,- 0.1,2,1
InfoAct_id_183,amplify,B-ID-61,B-ID-70,IP-427,0,+ 0.1,2,1
InfoAct_id_184,amplify,B-ID-61,B-ID-73,IP-429,0,+ 0.1,2,1
InfoAct_id_185,amplify,B-ID-61,B-ID-87,IP-429,0,+ 0.1,2,1
InfoAct_id_186,amplify,B-ID-61,Egle Juzu,IP-429,0,+ 0.1,2,1
InfoAct_id_187,amplify,B-ID-31,B-ID-7,IP-2,0,+ 0.1,2,1
InfoAct_id_188,amplify,B-ID-31,B-ID-26,IP-3,0,+ 0.1,2,1
InfoAct_id_189,amplify,B-ID-31,B-ID-29,IP-4,0,+ 0.1,2,1
InfoAct_id_190,amplify,B-ID-31,B-ID-34,IP-7,0,+ 0.1,2,1
InfoAct_id_191,amplify,B-ID-31,B-ID-55,IP-9,0,+ 0.1,2,1
InfoAct_id_192,refute,B-ID-31,Valdemar Tomasevski,IP-3,0,- 0.1,2,1
InfoAct_id_193,refute,B-ID-31,Karolina Meschino,IP-5,0,- 0.1,2,1
InfoAct_id_194,amplify,B-ID-31,GEN Nikolai Yegorovich Makarov,IP-4,0,+ 0.1,2,1
InfoAct_id_195,amplify,B-ID-31,Marius Skuodis,IP-7,0,+ 0.1,2,1
InfoAct_id_196,amplify,B-ID-31,Audrius Ciuplys,IP-3,0,+ 0.1,2,1
InfoAct_id_197,refute,COL-GEN Anatoly Alekseyevich Sidorov,B-ID-5,IP-4,0,- 0.1,2,1
InfoAct_id_198,refute,COL-GEN Anatoly Alekseyevich Sidorov,B-ID-5,IP-3,0,- 0.1,2,1
InfoAct_id_199,amplify,COL-GEN Anatoly Alekseyevich Sidorov,B-ID-7,IP-3,0,+ 0.1,2,1
InfoAct_id_200,refute,COL-GEN Anatoly Alekseyevich Sidorov,B-ID-36,IP-7,0,- 0.1,2,1
InfoAct_id_201,amplify,COL-GEN Anatoly Alekseyevich Sidorov,B-ID-37,IP-9,0,+ 0.1,2,1
InfoAct_id_202,refute,COL-GEN Anatoly Alekseyevich Sidorov,B-ID-56,IP-9,0,- 0.1,2,1
InfoAct_id_203,refute,COL-GEN Anatoly Alekseyevich Sidorov,B-ID-63,IP-4,0,- 0.1,2,1
InfoAct_id_204,refute,COL-GEN Anatoly Alekseyevich Sidorov,B-ID-74,IP-9,0,- 0.1,2,1
InfoAct_id_205,amplify,COL-GEN Anatoly Alekseyevich Sidorov,B-ID-80,IP-5,0,+ 0.1,2,1
InfoAct_id_206,refute,COL-GEN Anatoly Alekseyevich Sidorov,B-ID-89,IP-9,0,- 0.1,2,1
InfoAct_id_207,amplify,COL-GEN Anatoly Alekseyevich Sidorov,B-ID-92,IP-2,0,+ 0.1,2,1
InfoAct_id_208,amplify,COL-GEN Anatoly Alekseyevich Sidorov,B-ID-99,IP-9,0,+ 0.1,2,1
InfoAct_id_209,refute,COL-GEN Anatoly Alekseyevich Sidorov,Austeja Landsbergiene,IP-3,0,- 0.1,2,1
InfoAct_id_210,refute,COL-GEN Anatoly Alekseyevich Sidorov,Sonata Patkauskait?,IP-7,0,- 0.1,2,1
InfoAct_id_211,refute,COL-GEN Anatoly Alekseyevich Sidorov,MG Arkady Vilktotovich Bakhin,IP-7,0,- 0.1,2,1
InfoAct_id_212,amplify,COL-GEN Anatoly Alekseyevich Sidorov,COL Maximov Sergei Viktorovich,IP-5,0,+ 0.1,2,1
InfoAct_id_213,refute,COL-GEN Anatoly Alekseyevich Sidorov,COL-GEN Victor Borisovich Astapov,IP-5,0,- 0.1,2,1
InfoAct_id_214,amplify,COL-GEN Anatoly Alekseyevich Sidorov,Marius Skuodis,IP-7,0,+ 0.1,2,1
InfoAct_id_215,amplify,COL-GEN Victor Borisovich Astapov,B-ID-22,IP-427,0,+ 0.1,2,1
InfoAct_id_216,amplify,COL-GEN Victor Borisovich Astapov,B-ID-36,IP-2,0,+ 0.1,2,1
InfoAct_id_217,amplify,COL-GEN Victor Borisovich Astapov,B-ID-41,IP-9,0,+ 0.1,2,1
InfoAct_id_218,refute,COL-GEN Victor Borisovich Astapov,B-ID-45,IP-9,0,- 0.1,2,1
InfoAct_id_219,amplify,COL-GEN Victor Borisovich Astapov,B-ID-56,IP-3,0,+ 0.1,2,1
InfoAct_id_220,refute,COL-GEN Victor Borisovich Astapov,B-ID-61,IP-427,0,- 0.1,2,1
InfoAct_id_221,amplify,COL-GEN Victor Borisovich Astapov,B-ID-64,IP-4,0,+ 0.1,2,1
InfoAct_id_222,refute,COL-GEN Victor Borisovich Astapov,B-ID-76,IP-2,0,- 0.1,2,1
InfoAct_id_223,refute,COL-GEN Victor Borisovich Astapov,B-ID-78,IP-429,0,- 0.1,2,1
InfoAct_id_224,refute,COL-GEN Victor Borisovich Astapov,B-ID-80,IP-7,0,- 0.1,2,1
InfoAct_id_225,refute,COL-GEN Victor Borisovich Astapov,B-ID-93,IP-7,0,- 0.1,2,1
InfoAct_id_226,refute,COL-GEN Victor Borisovich Astapov,Andrius Tapinas,IP-5,0,- 0.1,2,1
InfoAct_id_227,refute,COL-GEN Victor Borisovich Astapov,Sonata Patkauskait?,IP-429,0,- 0.1,2,1
InfoAct_id_228,refute,COL-GEN Victor Borisovich Astapov,Marius Skuodis,IP-5,0,- 0.1,2,1
InfoAct_id_229,refute,COL-GEN Victor Borisovich Astapov,Virgis Bagdonas,IP-2,0,- 0.1,2,1
InfoAct_id_230,amplify,Bishop K?stutis K?valas CATH,B-ID-37,IP-198,0,+ 0.1,2,1
InfoAct_id_231,amplify,Bishop K?stutis K?valas CATH,B-ID-57,IP-198,0,+ 0.1,2,1
InfoAct_id_232,refute,Bishop K?stutis K?valas CATH,B-ID-61,IP-198,0,- 0.1,2,1
InfoAct_id_233,refute,Bishop K?stutis K?valas CATH,Archbishop Innokenty of Vilnius ROC,IP-198,0,- 0.1,2,1
InfoAct_id_234,amplify,B-ID-74,B-ID-8,IP-2,0,+ 0.1,2,1
InfoAct_id_235,refute,B-ID-74,B-ID-9,IP-427,0,- 0.1,2,1
InfoAct_id_236,refute,B-ID-74,B-ID-10,IP-2,0,- 0.1,2,1
InfoAct_id_237,refute,B-ID-74,B-ID-16,IP-7,0,- 0.1,2,1
InfoAct_id_238,refute,B-ID-74,B-ID-24,IP-3,0,- 0.1,2,1
InfoAct_id_239,refute,B-ID-74,B-ID-27,IP-9,0,- 0.1,2,1
InfoAct_id_240,amplify,B-ID-74,B-ID-41,IP-2,0,+ 0.1,2,1
InfoAct_id_241,amplify,B-ID-74,B-ID-50,IP-5,0,+ 0.1,2,1
InfoAct_id_242,amplify,B-ID-74,B-ID-50,IP-4,0,+ 0.1,2,1
InfoAct_id_243,amplify,B-ID-74,B-ID-51,IP-429,0,+ 0.1,2,1
InfoAct_id_244,amplify,B-ID-74,B-ID-60,IP-7,0,+ 0.1,2,1
InfoAct_id_245,amplify,B-ID-74,B-ID-85,IP-7,0,+ 0.1,2,1
InfoAct_id_246,refute,B-ID-74,B-ID-89,IP-9,0,- 0.1,2,1
InfoAct_id_247,refute,B-ID-74,B-ID-99,IP-2,0,- 0.1,2,1
InfoAct_id_248,amplify,B-ID-74,B-ID-101,IP-2,0,+ 0.1,2,1
InfoAct_id_249,amplify,B-ID-74,Austeja Landsbergiene,IP-7,0,+ 0.1,2,1
InfoAct_id_250,amplify,B-ID-74,Rolandas Mackevicius,IP-2,0,+ 0.1,2,1
InfoAct_id_251,amplify,B-ID-74,Edvinas Regelskis,IP-4,0,+ 0.1,2,1
InfoAct_id_252,refute,B-ID-74,GEN Nikolai Yegorovich Makarov,IP-5,0,- 0.1,2,1
InfoAct_id_253,refute,B-ID-74,MG Arkady Vilktotovich Bakhin,IP-427,0,- 0.1,2,1
InfoAct_id_254,amplify,B-ID-74,LTG Viktor Nikolaevich Samsonov,IP-4,0,+ 0.1,2,1
InfoAct_id_255,amplify,B-ID-74,COL-GEN Victor Borisovich Astapov,IP-2,0,+ 0.1,2,1
InfoAct_id_256,refute,B-ID-74,Marius Skuodis,IP-3,0,- 0.1,2,1
InfoAct_id_257,refute,Simonas Gurevicius,B-ID-15,IP-4,0,- 0.1,2,1
InfoAct_id_258,refute,Simonas Gurevicius,B-ID-17,IP-5,0,- 0.1,2,1
InfoAct_id_259,refute,Simonas Gurevicius,B-ID-25,IP-198,0,- 0.1,2,1
InfoAct_id_260,refute,Simonas Gurevicius,B-ID-30,IP-427,0,- 0.1,2,1
InfoAct_id_261,refute,Simonas Gurevicius,B-ID-41,IP-7,0,- 0.1,2,1
InfoAct_id_262,refute,Simonas Gurevicius,B-ID-66,IP-9,0,- 0.1,2,1
