information_action_id,information_action_type,sending_agent_id,receiving_agent_id,information_packet_id,endorsed_agent_id,change_in_amplification,tick,simulation_id
InfoAct_id_167,amplify,Sergey Kuzhugetovich Shoygu,Valdemar Tomasevski,IP-9,0,+ 0.1,4,1
InfoAct_id_168,refute,B-ID-38,B-ID-39,IP-199,0,- 0.1,4,1
InfoAct_id_169,refute,Arvydas Sabonis,COL-GEN Alexander Zhuravlyov,IP-7,0,- 0.1,4,1
InfoAct_id_170,amplify,Rolandas Mackevicius,Karolina Meschino,IP-3,0,+ 0.1,4,1
InfoAct_id_171,refute,B-ID-9,B-ID-4,IP-5,0,- 0.1,4,1
InfoAct_id_172,amplify,MAJ Ganushevich Artem Romanovich,LTG Viktor Nikolaevich Samsonov,IP-4,0,+ 0.1,4,1
InfoAct_id_173,refute,MAJ Ganushevich Artem Romanovich,COL-GEN Anatoly Alekseyevich Sidorov,IP-3,0,- 0.1,4,1
InfoAct_id_174,refute,GEN Vladimir Sergeyevich Mikhaylov,MAJ Ganushevich Artem Romanovich,IP-7,0,- 0.1,4,1
InfoAct_id_175,amplify,B-ID-65,B-ID-9,IP-5,0,+ 0.1,4,1
InfoAct_id_176,amplify,MG Arkady Vilktotovich Bakhin,GEN Nikolai Yegorovich Makarov,IP-4,0,+ 0.1,4,1
InfoAct_id_177,refute,LTC Lapin Denis Alexandrovich,MAJ Ganushevich Artem Romanovich,IP-199,0,- 0.1,4,1
InfoAct_id_178,amplify,B-ID-30,B-ID-22,IP-5,0,+ 0.1,4,1
InfoAct_id_179,amplify,B-ID-101,B-ID-4,IP-4,0,+ 0.1,4,1
InfoAct_id_180,amplify,B-ID-101,B-ID-78,IP-199,0,+ 0.1,4,1
InfoAct_id_181,amplify,Gitanas Nauseda,Viktorija Smilyte-Nielsen,IP-9,0,+ 0.1,4,1
InfoAct_id_182,amplify,B-ID-8,B-ID-65,IP-3,0,+ 0.1,4,1
InfoAct_id_183,amplify,Paulius Keras,Ingrida Simonyte,IP-3,0,+ 0.1,4,1
InfoAct_id_184,refute,B-ID-48,B-ID-60,IP-4,0,- 0.1,4,1
InfoAct_id_185,refute,B-ID-48,B-ID-82,IP-3,0,- 0.1,4,1
InfoAct_id_186,refute,Maria Yakubovskaya,Arvydas Giedraitis,IP-9,0,- 0.1,4,1
InfoAct_id_187,refute,B-ID-45,B-ID-50,IP-9,0,- 0.1,4,1
InfoAct_id_188,amplify,Gintare Guzevi?i?t?,B-ID-6,IP-3,0,+ 0.1,4,1
InfoAct_id_189,refute,B-ID-76,B-ID-48,IP-199,0,- 0.1,4,1
InfoAct_id_190,amplify,Bishop Ambrose of Trakai ROC,Paulius Keras,IP-199,0,+ 0.1,4,1
InfoAct_id_191,refute,Bishop Ambrose of Trakai ROC,Virgis Bagdonas,IP-5,0,- 0.1,4,1
InfoAct_id_192,amplify,GEN Nikolai Yegorovich Makarov,MG Arkady Vilktotovich Bakhin,IP-3,0,+ 0.1,4,1
InfoAct_id_193,refute,Arvydas Giedraitis,COL-GEN Anatoly Alekseyevich Sidorov,IP-4,0,- 0.1,4,1
InfoAct_id_194,refute,B-ID-60,B-ID-48,IP-5,0,- 0.1,4,1
InfoAct_id_195,refute,Egle Juzu,Edita Baniene,IP-7,0,- 0.1,4,1
