information_action_id,information_action_type,sending_agent_id,receiving_agent_id,information_packet_id,endorsed_agent_id,change_in_amplification,tick,simulation_id
InfoAct_id_757,refute,Viktorija Smilyte-Nielsen,B-ID-49,IP-3,0,- 0.1,10,1
InfoAct_id_758,refute,Viktorija Smilyte-Nielsen,Edita Baniene,IP-3,0,- 0.1,10,1
InfoAct_id_759,amplify,B-ID-89,B-ID-95,IP-3,0,+ 0.1,10,1
InfoAct_id_760,amplify,B-ID-80,B-ID-69,IP-3,0,+ 0.1,10,1
InfoAct_id_761,refute,B-ID-44,B-ID-9,IP-3,0,- 0.1,10,1
InfoAct_id_762,refute,B-ID-61,B-ID-1,IP-4,0,- 0.1,10,1
InfoAct_id_763,amplify,B-ID-61,B-ID-5,IP-3,0,+ 0.1,10,1
InfoAct_id_764,amplify,B-ID-76,B-ID-6,IP-5,0,+ 0.1,10,1
InfoAct_id_765,refute,B-ID-38,B-ID-30,IP-3,0,- 0.1,10,1
InfoAct_id_766,amplify,B-ID-38,B-ID-71,IP-3,0,+ 0.1,10,1
InfoAct_id_767,refute,B-ID-53,B-ID-74,IP-3,0,- 0.1,10,1
InfoAct_id_768,amplify,Sonata Patkauskait?,Edita Baniene,IP-3,0,+ 0.1,10,1
InfoAct_id_769,amplify,Rolandas Mackevicius,B-ID-70,IP-5,0,+ 0.1,10,1
InfoAct_id_770,amplify,B-ID-23,B-ID-17,IP-5,0,+ 0.1,10,1
InfoAct_id_771,amplify,B-ID-2,B-ID-76,IP-4,0,+ 0.1,10,1
InfoAct_id_772,amplify,B-ID-29,B-ID-2,IP-3,0,+ 0.1,10,1
InfoAct_id_773,amplify,Astchiek Melkonian,Father James Karklys ROC,IP-3,0,+ 0.1,10,1
InfoAct_id_774,refute,B-ID-8,B-ID-63,IP-5,0,- 0.1,10,1
InfoAct_id_775,amplify,Gitanas Nauseda,Sonata Patkauskait?,IP-5,0,+ 0.1,10,1
InfoAct_id_776,amplify,Gitanas Nauseda,Bishop Ambrose of Trakai ROC,IP-3,0,+ 0.1,10,1
InfoAct_id_777,refute,Gitanas Nauseda,Egle Juzu,IP-5,0,- 0.1,10,1
InfoAct_id_778,amplify,B-ID-47,B-ID-57,IP-3,0,+ 0.1,10,1
InfoAct_id_779,amplify,B-ID-32,B-ID-38,IP-3,0,+ 0.1,10,1
InfoAct_id_780,refute,Deacon Audrius Jesinskas ROC,Gabrielius Landsbergis,IP-5,0,- 0.1,10,1
InfoAct_id_781,amplify,Father James Karklys ROC,MAJ Ganushevich Artem Romanovich,IP-4,0,+ 0.1,10,1
InfoAct_id_782,amplify,B-ID-7,B-ID-4,IP-5,0,+ 0.1,10,1
InfoAct_id_783,amplify,COL-GEN Anatoly Alekseyevich Sidorov,Audrius Ciuplys,IP-4,0,+ 0.1,10,1
InfoAct_id_784,amplify,Edita Baniene,B-ID-59,IP-4,0,+ 0.1,10,1
InfoAct_id_785,refute,Edita Baniene,Father Vytenis Vaskelis ROC,IP-3,0,- 0.1,10,1
InfoAct_id_786,refute,B-ID-41,Archbishop Innokenty of Vilnius ROC,IP-3,0,- 0.1,10,1
InfoAct_id_787,refute,B-ID-55,Deacon John Stankevicius,IP-3,0,- 0.1,10,1
InfoAct_id_788,refute,Gabrielius Landsbergis,LTC Lapin Denis Alexandrovich,IP-4,0,- 0.1,10,1
InfoAct_id_789,refute,B-ID-65,B-ID-1,IP-4,0,- 0.1,10,1
InfoAct_id_790,refute,B-ID-15,B-ID-9,IP-3,0,- 0.1,10,1
InfoAct_id_791,refute,B-ID-10,B-ID-55,IP-5,0,- 0.1,10,1
InfoAct_id_792,amplify,B-ID-10,B-ID-60,IP-5,0,+ 0.1,10,1
InfoAct_id_793,amplify,Simonas Gurevicius,Viktorija Smilyte-Nielsen,IP-5,0,+ 0.1,10,1
InfoAct_id_794,refute,COL Maximov Sergei Viktorovich,Deacon Audrius Jesinskas ROC,IP-4,0,- 0.1,10,1
InfoAct_id_795,amplify,COL Maximov Sergei Viktorovich,MG Arkady Vilktotovich Bakhin,IP-5,0,+ 0.1,10,1
InfoAct_id_796,amplify,COL Maximov Sergei Viktorovich,COL-GEN Victor Borisovich Astapov,IP-5,0,+ 0.1,10,1
InfoAct_id_797,amplify,B-ID-51,B-ID-40,IP-4,0,+ 0.1,10,1
InfoAct_id_798,refute,B-ID-11,B-ID-12,IP-5,0,- 0.1,10,1
