triad_id~triad_stack_id~topic_id~stance~tick~simulation_id
Triad_ID_451~TS-B-ID-21~NATO military actions in Lithuania~21552.254055579695~5~1
Triad_ID_452~TS-B-ID-21~NATO military actions in Lithuania~21552.254055579695~5~1
Triad_ID_453~TS-B-ID-21~NATO military actions in Lithuania~21552.254055579695~5~1
Triad_ID_454~TS-B-ID-22~NATO military actions in Lithuania~-169794.79013058604~5~1
Triad_ID_455~TS-B-ID-22~NATO military actions in Lithuania~-57616.816861011685~5~1
Triad_ID_456~TS-B-ID-22~NATO military actions in Lithuania~-57616.816861011685~5~1
Triad_ID_457~TS-B-ID-22~NATO military actions in Lithuania~44363.1588386014~5~1
Triad_ID_458~TS-B-ID-22~NATO military actions in Lithuania~44363.1588386014~5~1
Triad_ID_459~TS-B-ID-22~NATO military actions in Lithuania~156541.13210817578~5~1
Triad_ID_460~TS-B-ID-22~NATO military actions in Lithuania~146343.1345382145~5~1
Triad_ID_461~TS-B-ID-22~NATO military actions in Lithuania~146343.1345382145~5~1
Triad_ID_354~TS-B-ID-23~NATO military actions in Lithuania~-2220344.1369563304~5~1
Triad_ID_355~TS-B-ID-23~NATO military actions in Lithuania~-1215868.6380297833~5~1
Triad_ID_356~TS-B-ID-23~NATO military actions in Lithuania~-1307184.59247765~5~1
Triad_ID_357~TS-B-ID-23~NATO military actions in Lithuania~-394025.04799897294~5~1
Triad_ID_358~TS-B-ID-23~NATO military actions in Lithuania~-394025.04799897294~5~1
Triad_ID_359~TS-B-ID-23~NATO military actions in Lithuania~-394025.04799897294~5~1
Triad_ID_360~TS-B-ID-23~NATO military actions in Lithuania~-394025.04799897294~5~1
Triad_ID_462~TS-B-ID-30~NATO military actions in Lithuania~-362422.1953293213~5~1
Triad_ID_463~TS-B-ID-30~NATO military actions in Lithuania~-121958.74710018227~5~1
Triad_ID_464~TS-B-ID-30~NATO military actions in Lithuania~-121958.74710018227~5~1
Triad_ID_465~TS-B-ID-30~NATO military actions in Lithuania~118504.7011289565~5~1
Triad_ID_466~TS-B-ID-30~NATO military actions in Lithuania~96644.38765358024~5~1
Triad_ID_467~TS-B-ID-30~NATO military actions in Lithuania~337107.83588271914~5~1
Triad_ID_468~TS-B-ID-30~NATO military actions in Lithuania~315247.52240734285~5~1
Triad_ID_469~TS-B-ID-30~NATO military actions in Lithuania~315247.52240734285~5~1
Triad_ID_150~TS-B-ID-31~Great Synagogue of Vilna~-3~5~1
Triad_ID_151~TS-B-ID-31~COVID-19 pandemic in Lithuania~2.33~5~1
Triad_ID_152~TS-B-ID-31~COVID-19 pandemic in Lithuania~3~5~1
