identity_action_id,agent_id,action,triad_id,change_in_stance,change_in_latitude,change_in_longitude,tick,simulation_id
Identity_Act_id_1,B-ID-61,UpdateStance,Triad_ID_145,-0.03300000000000001,0,0,2,0
Identity_Act_id_2,B-ID-61,UpdateStance,Triad_ID_146,0.08800000000000002,0,0,2,0
Identity_Act_id_3,B-ID-61,UpdateStance,Triad_ID_147,0.08800000000000002,0,0,2,0
Identity_Act_id_4,B-ID-61,UpdateStance,Triad_ID_148,0.209,0,0,2,0
Identity_Act_id_5,B-ID-61,UpdateStance,Triad_ID_149,0.17600000000000005,0,0,2,0
Identity_Act_id_6,B-ID-61,UpdateStance,Triad_ID_150,0.297,0,0,2,0
Identity_Act_id_7,B-ID-61,UpdateStance,Triad_ID_151,0.31900000000000006,0,0,2,0
Identity_Act_id_8,B-ID-61,UpdateStance,Triad_ID_152,0.275,0,0,2,0
Identity_Act_id_9,B-ID-41,UpdateStance,Triad_ID_24,0,0,0,2,0
Identity_Act_id_10,Ingrida Simonyte,UpdateStance,Triad_ID_217,0.09899999999999998,0,0,2,0
Identity_Act_id_11,Ingrida Simonyte,UpdateStance,Triad_ID_218,0.19799999999999998,0,0,2,0
Identity_Act_id_12,Ingrida Simonyte,UpdateStance,Triad_ID_219,0.19799999999999998,0,0,2,0
Identity_Act_id_13,Ingrida Simonyte,UpdateStance,Triad_ID_220,0.33,0,0,2,0
Identity_Act_id_14,Ingrida Simonyte,UpdateStance,Triad_ID_221,0.275,0,0,2,0
Identity_Act_id_15,Ingrida Simonyte,UpdateStance,Triad_ID_222,0.418,0,0,2,0
Identity_Act_id_16,Ingrida Simonyte,UpdateStance,Triad_ID_223,0.44000000000000006,0,0,2,0
Identity_Act_id_17,Ingrida Simonyte,UpdateStance,Triad_ID_224,0.363,0,0,2,0
Identity_Act_id_18,Bishop K?stutis K?valas CATH,UpdateStance,Triad_ID_37,-0.01100000000000001,0,0,2,0
Identity_Act_id_19,Bishop K?stutis K?valas CATH,UpdateStance,Triad_ID_38,0.08799999999999998,0,0,2,0
Identity_Act_id_20,Bishop K?stutis K?valas CATH,UpdateStance,Triad_ID_39,0.19799999999999998,0,0,2,0
Identity_Act_id_21,Bishop K?stutis K?valas CATH,UpdateStance,Triad_ID_40,0.19799999999999998,0,0,2,0
Identity_Act_id_22,Bishop K?stutis K?valas CATH,UpdateStance,Triad_ID_41,0.19799999999999998,0,0,2,0
