information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_14208~SEND~15min (15min.lt)~B-ID-18~IP-274~0~0~5~Sim7
InfoAct_id_14209~SEND~15min (15min.lt)~B-ID-18~IP-278~0~0~5~Sim7
InfoAct_id_14210~SEND~15min (15min.lt)~B-ID-18~IP-282~0~0~5~Sim7
InfoAct_id_14211~SEND~15min (15min.lt)~B-ID-18~IP-286~0~0~5~Sim7
InfoAct_id_14212~SEND~15min (15min.lt)~B-ID-18~IP-290~0~0~5~Sim7
InfoAct_id_14213~SEND~15min (15min.lt)~B-ID-18~IP-307~0~0~5~Sim7
InfoAct_id_14214~SEND~15min (15min.lt)~B-ID-18~IP-311~0~0~5~Sim7
InfoAct_id_14215~SEND~15min (15min.lt)~B-ID-18~IP-315~0~0~5~Sim7
InfoAct_id_14216~SEND~15min (15min.lt)~B-ID-18~IP-319~0~0~5~Sim7
InfoAct_id_14217~SEND~15min (15min.lt)~B-ID-18~IP-323~0~0~5~Sim7
InfoAct_id_14218~SEND~15min (15min.lt)~B-ID-18~IP-327~0~0~5~Sim7
InfoAct_id_14219~SEND~15min (15min.lt)~B-ID-18~IP-331~0~0~5~Sim7
InfoAct_id_14220~SEND~15min (15min.lt)~B-ID-18~IP-335~0~0~5~Sim7
InfoAct_id_14221~SEND~15min (15min.lt)~B-ID-18~IP-339~0~0~5~Sim7
InfoAct_id_14222~SEND~15min (15min.lt)~B-ID-23~IP-274~0~0~5~Sim7
InfoAct_id_14223~SEND~15min (15min.lt)~B-ID-23~IP-278~0~0~5~Sim7
InfoAct_id_14224~SEND~15min (15min.lt)~B-ID-23~IP-282~0~0~5~Sim7
InfoAct_id_14225~SEND~15min (15min.lt)~B-ID-23~IP-286~0~0~5~Sim7
InfoAct_id_14226~SEND~15min (15min.lt)~B-ID-23~IP-290~0~0~5~Sim7
InfoAct_id_14227~SEND~15min (15min.lt)~B-ID-23~IP-307~0~0~5~Sim7
InfoAct_id_14228~SEND~15min (15min.lt)~B-ID-23~IP-311~0~0~5~Sim7
InfoAct_id_14229~SEND~15min (15min.lt)~B-ID-23~IP-315~0~0~5~Sim7
InfoAct_id_14230~SEND~15min (15min.lt)~B-ID-23~IP-319~0~0~5~Sim7
InfoAct_id_14231~SEND~15min (15min.lt)~B-ID-23~IP-323~0~0~5~Sim7
InfoAct_id_14232~SEND~15min (15min.lt)~B-ID-23~IP-327~0~0~5~Sim7
InfoAct_id_14233~SEND~15min (15min.lt)~B-ID-23~IP-331~0~0~5~Sim7
InfoAct_id_14234~SEND~15min (15min.lt)~B-ID-23~IP-335~0~0~5~Sim7
InfoAct_id_14235~SEND~15min (15min.lt)~B-ID-23~IP-339~0~0~5~Sim7
InfoAct_id_14236~SEND~15min (15min.lt)~B-ID-38~IP-274~0~0~5~Sim7
InfoAct_id_14237~SEND~15min (15min.lt)~B-ID-38~IP-278~0~0~5~Sim7
InfoAct_id_14238~SEND~15min (15min.lt)~B-ID-38~IP-282~0~0~5~Sim7
InfoAct_id_14239~SEND~15min (15min.lt)~B-ID-38~IP-286~0~0~5~Sim7
InfoAct_id_14240~SEND~15min (15min.lt)~B-ID-38~IP-290~0~0~5~Sim7
InfoAct_id_14241~SEND~15min (15min.lt)~B-ID-38~IP-307~0~0~5~Sim7
InfoAct_id_14242~SEND~15min (15min.lt)~B-ID-38~IP-311~0~0~5~Sim7
InfoAct_id_14243~SEND~15min (15min.lt)~B-ID-38~IP-315~0~0~5~Sim7
InfoAct_id_14244~SEND~15min (15min.lt)~B-ID-38~IP-319~0~0~5~Sim7
InfoAct_id_14245~SEND~15min (15min.lt)~B-ID-38~IP-323~0~0~5~Sim7
InfoAct_id_14246~SEND~15min (15min.lt)~B-ID-38~IP-327~0~0~5~Sim7
InfoAct_id_14247~SEND~15min (15min.lt)~B-ID-38~IP-331~0~0~5~Sim7
InfoAct_id_14248~SEND~15min (15min.lt)~B-ID-38~IP-335~0~0~5~Sim7
InfoAct_id_14249~SEND~15min (15min.lt)~B-ID-38~IP-339~0~0~5~Sim7
InfoAct_id_14250~SEND~15min (15min.lt)~B-ID-47~IP-274~0~0~5~Sim7
InfoAct_id_14251~SEND~15min (15min.lt)~B-ID-47~IP-278~0~0~5~Sim7
InfoAct_id_14252~SEND~15min (15min.lt)~B-ID-47~IP-282~0~0~5~Sim7
InfoAct_id_14253~SEND~15min (15min.lt)~B-ID-47~IP-286~0~0~5~Sim7
InfoAct_id_14254~SEND~15min (15min.lt)~B-ID-47~IP-290~0~0~5~Sim7
InfoAct_id_14255~SEND~15min (15min.lt)~B-ID-47~IP-307~0~0~5~Sim7
InfoAct_id_14256~SEND~15min (15min.lt)~B-ID-47~IP-311~0~0~5~Sim7
InfoAct_id_14257~SEND~15min (15min.lt)~B-ID-47~IP-315~0~0~5~Sim7
InfoAct_id_14258~SEND~15min (15min.lt)~B-ID-47~IP-319~0~0~5~Sim7
InfoAct_id_14259~SEND~15min (15min.lt)~B-ID-47~IP-323~0~0~5~Sim7
InfoAct_id_14260~SEND~15min (15min.lt)~B-ID-47~IP-327~0~0~5~Sim7
InfoAct_id_14261~SEND~15min (15min.lt)~B-ID-47~IP-331~0~0~5~Sim7
InfoAct_id_14262~SEND~15min (15min.lt)~B-ID-47~IP-335~0~0~5~Sim7
InfoAct_id_14263~SEND~15min (15min.lt)~B-ID-47~IP-339~0~0~5~Sim7
InfoAct_id_14264~SEND~15min (15min.lt)~B-ID-71~IP-274~0~0~5~Sim7
InfoAct_id_14265~SEND~15min (15min.lt)~B-ID-71~IP-278~0~0~5~Sim7
InfoAct_id_14266~SEND~15min (15min.lt)~B-ID-71~IP-282~0~0~5~Sim7
InfoAct_id_14267~SEND~15min (15min.lt)~B-ID-71~IP-286~0~0~5~Sim7
InfoAct_id_14268~SEND~15min (15min.lt)~B-ID-71~IP-290~0~0~5~Sim7
InfoAct_id_14269~SEND~15min (15min.lt)~B-ID-71~IP-307~0~0~5~Sim7
InfoAct_id_14270~SEND~15min (15min.lt)~B-ID-71~IP-311~0~0~5~Sim7
InfoAct_id_14271~SEND~15min (15min.lt)~B-ID-71~IP-315~0~0~5~Sim7
InfoAct_id_14272~SEND~15min (15min.lt)~B-ID-71~IP-319~0~0~5~Sim7
InfoAct_id_14273~SEND~15min (15min.lt)~B-ID-71~IP-323~0~0~5~Sim7
InfoAct_id_14274~SEND~15min (15min.lt)~B-ID-71~IP-327~0~0~5~Sim7
InfoAct_id_14275~SEND~15min (15min.lt)~B-ID-71~IP-331~0~0~5~Sim7
InfoAct_id_14276~SEND~15min (15min.lt)~B-ID-71~IP-335~0~0~5~Sim7
InfoAct_id_14277~SEND~15min (15min.lt)~B-ID-71~IP-339~0~0~5~Sim7
InfoAct_id_14278~SEND~15min (15min.lt)~B-ID-88~IP-274~0~0~5~Sim7
InfoAct_id_14279~SEND~15min (15min.lt)~B-ID-88~IP-278~0~0~5~Sim7
InfoAct_id_14280~SEND~15min (15min.lt)~B-ID-88~IP-282~0~0~5~Sim7
InfoAct_id_14281~SEND~15min (15min.lt)~B-ID-88~IP-286~0~0~5~Sim7
InfoAct_id_14282~SEND~15min (15min.lt)~B-ID-88~IP-290~0~0~5~Sim7
InfoAct_id_14283~SEND~15min (15min.lt)~B-ID-88~IP-307~0~0~5~Sim7
InfoAct_id_14284~SEND~15min (15min.lt)~B-ID-88~IP-311~0~0~5~Sim7
InfoAct_id_14285~SEND~15min (15min.lt)~B-ID-88~IP-315~0~0~5~Sim7
InfoAct_id_14286~SEND~15min (15min.lt)~B-ID-88~IP-319~0~0~5~Sim7
InfoAct_id_14287~SEND~15min (15min.lt)~B-ID-88~IP-323~0~0~5~Sim7
InfoAct_id_14288~SEND~15min (15min.lt)~B-ID-88~IP-327~0~0~5~Sim7
InfoAct_id_14289~SEND~15min (15min.lt)~B-ID-88~IP-331~0~0~5~Sim7
InfoAct_id_14290~SEND~15min (15min.lt)~B-ID-88~IP-335~0~0~5~Sim7
InfoAct_id_14291~SEND~15min (15min.lt)~B-ID-88~IP-339~0~0~5~Sim7
InfoAct_id_14292~SEND~15min (15min.lt)~B-ID-114~IP-274~0~0~5~Sim7
InfoAct_id_14293~SEND~15min (15min.lt)~B-ID-114~IP-278~0~0~5~Sim7
InfoAct_id_14294~SEND~15min (15min.lt)~B-ID-114~IP-282~0~0~5~Sim7
InfoAct_id_14295~SEND~15min (15min.lt)~B-ID-114~IP-286~0~0~5~Sim7
InfoAct_id_14296~SEND~15min (15min.lt)~B-ID-114~IP-290~0~0~5~Sim7
InfoAct_id_14297~SEND~15min (15min.lt)~B-ID-114~IP-307~0~0~5~Sim7
InfoAct_id_14298~SEND~15min (15min.lt)~B-ID-114~IP-311~0~0~5~Sim7
InfoAct_id_14299~SEND~15min (15min.lt)~B-ID-114~IP-315~0~0~5~Sim7
InfoAct_id_14300~SEND~15min (15min.lt)~B-ID-114~IP-319~0~0~5~Sim7
InfoAct_id_14301~SEND~15min (15min.lt)~B-ID-114~IP-323~0~0~5~Sim7
InfoAct_id_14302~SEND~15min (15min.lt)~B-ID-114~IP-327~0~0~5~Sim7
InfoAct_id_14303~SEND~15min (15min.lt)~B-ID-114~IP-331~0~0~5~Sim7
InfoAct_id_14304~SEND~15min (15min.lt)~B-ID-114~IP-335~0~0~5~Sim7
InfoAct_id_14305~SEND~15min (15min.lt)~B-ID-114~IP-339~0~0~5~Sim7
InfoAct_id_14306~SEND~15min (15min.lt)~B-ID-130~IP-274~0~0~5~Sim7
InfoAct_id_14307~SEND~15min (15min.lt)~B-ID-130~IP-278~0~0~5~Sim7
InfoAct_id_14308~SEND~15min (15min.lt)~B-ID-130~IP-282~0~0~5~Sim7
InfoAct_id_14309~SEND~15min (15min.lt)~B-ID-130~IP-286~0~0~5~Sim7
