information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_16969~SEND~15min (15min.lt)~B-ID-18~IP-274~0~0~5~Sim0
InfoAct_id_16970~SEND~15min (15min.lt)~B-ID-18~IP-278~0~0~5~Sim0
InfoAct_id_16971~SEND~15min (15min.lt)~B-ID-18~IP-282~0~0~5~Sim0
InfoAct_id_16972~SEND~15min (15min.lt)~B-ID-18~IP-286~0~0~5~Sim0
InfoAct_id_16973~SEND~15min (15min.lt)~B-ID-18~IP-290~0~0~5~Sim0
InfoAct_id_16974~SEND~15min (15min.lt)~B-ID-18~IP-307~0~0~5~Sim0
InfoAct_id_16975~SEND~15min (15min.lt)~B-ID-18~IP-311~0~0~5~Sim0
InfoAct_id_16976~SEND~15min (15min.lt)~B-ID-18~IP-315~0~0~5~Sim0
InfoAct_id_16977~SEND~15min (15min.lt)~B-ID-18~IP-319~0~0~5~Sim0
InfoAct_id_16978~SEND~15min (15min.lt)~B-ID-18~IP-323~0~0~5~Sim0
InfoAct_id_16979~SEND~15min (15min.lt)~B-ID-18~IP-327~0~0~5~Sim0
InfoAct_id_16980~SEND~15min (15min.lt)~B-ID-18~IP-331~0~0~5~Sim0
InfoAct_id_16981~SEND~15min (15min.lt)~B-ID-18~IP-335~0~0~5~Sim0
InfoAct_id_16982~SEND~15min (15min.lt)~B-ID-18~IP-339~0~0~5~Sim0
InfoAct_id_16983~SEND~15min (15min.lt)~B-ID-23~IP-274~0~0~5~Sim0
InfoAct_id_16984~SEND~15min (15min.lt)~B-ID-23~IP-278~0~0~5~Sim0
InfoAct_id_16985~SEND~15min (15min.lt)~B-ID-23~IP-282~0~0~5~Sim0
InfoAct_id_16986~SEND~15min (15min.lt)~B-ID-23~IP-286~0~0~5~Sim0
InfoAct_id_16987~SEND~15min (15min.lt)~B-ID-23~IP-290~0~0~5~Sim0
InfoAct_id_16988~SEND~15min (15min.lt)~B-ID-23~IP-307~0~0~5~Sim0
InfoAct_id_16989~SEND~15min (15min.lt)~B-ID-23~IP-311~0~0~5~Sim0
InfoAct_id_16990~SEND~15min (15min.lt)~B-ID-23~IP-315~0~0~5~Sim0
InfoAct_id_16991~SEND~15min (15min.lt)~B-ID-23~IP-319~0~0~5~Sim0
InfoAct_id_16992~SEND~15min (15min.lt)~B-ID-23~IP-323~0~0~5~Sim0
InfoAct_id_16993~SEND~15min (15min.lt)~B-ID-23~IP-327~0~0~5~Sim0
InfoAct_id_16994~SEND~15min (15min.lt)~B-ID-23~IP-331~0~0~5~Sim0
InfoAct_id_16995~SEND~15min (15min.lt)~B-ID-23~IP-335~0~0~5~Sim0
InfoAct_id_16996~SEND~15min (15min.lt)~B-ID-23~IP-339~0~0~5~Sim0
InfoAct_id_16997~SEND~15min (15min.lt)~B-ID-38~IP-274~0~0~5~Sim0
InfoAct_id_16998~SEND~15min (15min.lt)~B-ID-38~IP-278~0~0~5~Sim0
InfoAct_id_16999~SEND~15min (15min.lt)~B-ID-38~IP-282~0~0~5~Sim0
InfoAct_id_17000~SEND~15min (15min.lt)~B-ID-38~IP-286~0~0~5~Sim0
InfoAct_id_17001~SEND~15min (15min.lt)~B-ID-38~IP-290~0~0~5~Sim0
InfoAct_id_17002~SEND~15min (15min.lt)~B-ID-38~IP-307~0~0~5~Sim0
InfoAct_id_17003~SEND~15min (15min.lt)~B-ID-38~IP-311~0~0~5~Sim0
InfoAct_id_17004~SEND~15min (15min.lt)~B-ID-38~IP-315~0~0~5~Sim0
InfoAct_id_17005~SEND~15min (15min.lt)~B-ID-38~IP-319~0~0~5~Sim0
