information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_43620~SEND~15min (15min.lt)~B-ID-71~IP-323~0~0~7~Sim4
InfoAct_id_43621~SEND~15min (15min.lt)~B-ID-71~IP-327~0~0~7~Sim4
InfoAct_id_43622~SEND~15min (15min.lt)~B-ID-71~IP-331~0~0~7~Sim4
InfoAct_id_43623~SEND~15min (15min.lt)~B-ID-71~IP-335~0~0~7~Sim4
InfoAct_id_43624~SEND~15min (15min.lt)~B-ID-71~IP-339~0~0~7~Sim4
InfoAct_id_43625~SEND~15min (15min.lt)~B-ID-88~IP-274~0~0~7~Sim4
InfoAct_id_43626~SEND~15min (15min.lt)~B-ID-88~IP-278~0~0~7~Sim4
InfoAct_id_43627~SEND~15min (15min.lt)~B-ID-88~IP-282~0~0~7~Sim4
InfoAct_id_43628~SEND~15min (15min.lt)~B-ID-88~IP-286~0~0~7~Sim4
InfoAct_id_43629~SEND~15min (15min.lt)~B-ID-88~IP-290~0~0~7~Sim4
InfoAct_id_43630~SEND~15min (15min.lt)~B-ID-88~IP-307~0~0~7~Sim4
InfoAct_id_43631~SEND~15min (15min.lt)~B-ID-88~IP-311~0~0~7~Sim4
InfoAct_id_43632~SEND~15min (15min.lt)~B-ID-88~IP-315~0~0~7~Sim4
InfoAct_id_43633~SEND~15min (15min.lt)~B-ID-88~IP-319~0~0~7~Sim4
InfoAct_id_43634~SEND~15min (15min.lt)~B-ID-88~IP-323~0~0~7~Sim4
InfoAct_id_43635~SEND~15min (15min.lt)~B-ID-88~IP-327~0~0~7~Sim4
InfoAct_id_43636~SEND~15min (15min.lt)~B-ID-88~IP-331~0~0~7~Sim4
InfoAct_id_43637~SEND~15min (15min.lt)~B-ID-88~IP-335~0~0~7~Sim4
InfoAct_id_43638~SEND~15min (15min.lt)~B-ID-88~IP-339~0~0~7~Sim4
InfoAct_id_43639~SEND~15min (15min.lt)~B-ID-114~IP-274~0~0~7~Sim4
InfoAct_id_43640~SEND~15min (15min.lt)~B-ID-114~IP-278~0~0~7~Sim4
InfoAct_id_43641~SEND~15min (15min.lt)~B-ID-114~IP-282~0~0~7~Sim4
InfoAct_id_43642~SEND~15min (15min.lt)~B-ID-114~IP-286~0~0~7~Sim4
InfoAct_id_43643~SEND~15min (15min.lt)~B-ID-114~IP-290~0~0~7~Sim4
InfoAct_id_43644~SEND~15min (15min.lt)~B-ID-114~IP-307~0~0~7~Sim4
InfoAct_id_43645~SEND~15min (15min.lt)~B-ID-114~IP-311~0~0~7~Sim4
InfoAct_id_43646~SEND~15min (15min.lt)~B-ID-114~IP-315~0~0~7~Sim4
InfoAct_id_43647~SEND~15min (15min.lt)~B-ID-114~IP-319~0~0~7~Sim4
InfoAct_id_43648~SEND~15min (15min.lt)~B-ID-114~IP-323~0~0~7~Sim4
InfoAct_id_43649~SEND~15min (15min.lt)~B-ID-114~IP-327~0~0~7~Sim4
InfoAct_id_43650~SEND~15min (15min.lt)~B-ID-114~IP-331~0~0~7~Sim4
InfoAct_id_43651~SEND~15min (15min.lt)~B-ID-114~IP-335~0~0~7~Sim4
InfoAct_id_43652~SEND~15min (15min.lt)~B-ID-114~IP-339~0~0~7~Sim4
InfoAct_id_43653~SEND~15min (15min.lt)~B-ID-130~IP-274~0~0~7~Sim4
InfoAct_id_43654~SEND~15min (15min.lt)~B-ID-130~IP-278~0~0~7~Sim4
InfoAct_id_43655~SEND~15min (15min.lt)~B-ID-130~IP-282~0~0~7~Sim4
InfoAct_id_43656~SEND~15min (15min.lt)~B-ID-130~IP-286~0~0~7~Sim4
InfoAct_id_43657~SEND~15min (15min.lt)~B-ID-130~IP-290~0~0~7~Sim4
InfoAct_id_43658~SEND~15min (15min.lt)~B-ID-130~IP-307~0~0~7~Sim4
InfoAct_id_43659~SEND~15min (15min.lt)~B-ID-130~IP-311~0~0~7~Sim4
InfoAct_id_43660~SEND~15min (15min.lt)~B-ID-130~IP-315~0~0~7~Sim4
InfoAct_id_43661~SEND~15min (15min.lt)~B-ID-130~IP-319~0~0~7~Sim4
InfoAct_id_43662~SEND~15min (15min.lt)~B-ID-130~IP-323~0~0~7~Sim4
InfoAct_id_43663~SEND~15min (15min.lt)~B-ID-130~IP-327~0~0~7~Sim4
InfoAct_id_43664~SEND~15min (15min.lt)~B-ID-130~IP-331~0~0~7~Sim4
InfoAct_id_43665~SEND~15min (15min.lt)~B-ID-130~IP-335~0~0~7~Sim4
InfoAct_id_43666~SEND~15min (15min.lt)~B-ID-130~IP-339~0~0~7~Sim4
InfoAct_id_43667~SEND~15min (15min.lt)~B-ID-134~IP-274~0~0~7~Sim4
InfoAct_id_43668~SEND~15min (15min.lt)~B-ID-134~IP-278~0~0~7~Sim4
InfoAct_id_43669~SEND~15min (15min.lt)~B-ID-134~IP-282~0~0~7~Sim4
InfoAct_id_43670~SEND~15min (15min.lt)~B-ID-134~IP-286~0~0~7~Sim4
InfoAct_id_43671~SEND~15min (15min.lt)~B-ID-134~IP-290~0~0~7~Sim4
InfoAct_id_43672~SEND~15min (15min.lt)~B-ID-134~IP-307~0~0~7~Sim4
InfoAct_id_43673~SEND~15min (15min.lt)~B-ID-134~IP-311~0~0~7~Sim4
InfoAct_id_43674~SEND~15min (15min.lt)~B-ID-134~IP-315~0~0~7~Sim4
InfoAct_id_43675~SEND~15min (15min.lt)~B-ID-134~IP-319~0~0~7~Sim4
InfoAct_id_43676~SEND~15min (15min.lt)~B-ID-134~IP-323~0~0~7~Sim4
InfoAct_id_43677~SEND~15min (15min.lt)~B-ID-134~IP-327~0~0~7~Sim4
InfoAct_id_43678~SEND~15min (15min.lt)~B-ID-134~IP-331~0~0~7~Sim4
InfoAct_id_43679~SEND~15min (15min.lt)~B-ID-134~IP-335~0~0~7~Sim4
InfoAct_id_43680~SEND~15min (15min.lt)~B-ID-134~IP-339~0~0~7~Sim4
InfoAct_id_43681~SEND~15min (15min.lt)~B-ID-138~IP-274~0~0~7~Sim4
InfoAct_id_43682~SEND~15min (15min.lt)~B-ID-138~IP-278~0~0~7~Sim4
