information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_3865~SEND~15min (15min.lt)~B-ID-3~IP-274~0~0~3~Sim1
InfoAct_id_3866~SEND~15min (15min.lt)~B-ID-3~IP-278~0~0~3~Sim1
InfoAct_id_3867~SEND~15min (15min.lt)~B-ID-3~IP-282~0~0~3~Sim1
InfoAct_id_3868~SEND~15min (15min.lt)~B-ID-3~IP-286~0~0~3~Sim1
InfoAct_id_3869~SEND~15min (15min.lt)~B-ID-3~IP-290~0~0~3~Sim1
InfoAct_id_3870~SEND~15min (15min.lt)~B-ID-3~IP-307~0~0~3~Sim1
InfoAct_id_3871~SEND~15min (15min.lt)~B-ID-3~IP-311~0~0~3~Sim1
InfoAct_id_3872~SEND~15min (15min.lt)~B-ID-3~IP-315~0~0~3~Sim1
InfoAct_id_3873~SEND~15min (15min.lt)~B-ID-3~IP-319~0~0~3~Sim1
InfoAct_id_3874~SEND~15min (15min.lt)~B-ID-3~IP-323~0~0~3~Sim1
InfoAct_id_3875~SEND~15min (15min.lt)~B-ID-3~IP-327~0~0~3~Sim1
InfoAct_id_3876~SEND~15min (15min.lt)~B-ID-3~IP-331~0~0~3~Sim1
InfoAct_id_3877~SEND~15min (15min.lt)~B-ID-3~IP-335~0~0~3~Sim1
InfoAct_id_3878~SEND~15min (15min.lt)~B-ID-3~IP-339~0~0~3~Sim1
InfoAct_id_3879~SEND~15min (15min.lt)~B-ID-4~IP-274~0~0~3~Sim1
InfoAct_id_3880~SEND~15min (15min.lt)~B-ID-4~IP-278~0~0~3~Sim1
InfoAct_id_3881~SEND~15min (15min.lt)~B-ID-4~IP-282~0~0~3~Sim1
InfoAct_id_3882~SEND~15min (15min.lt)~B-ID-4~IP-286~0~0~3~Sim1
InfoAct_id_3883~SEND~15min (15min.lt)~B-ID-4~IP-290~0~0~3~Sim1
InfoAct_id_3884~SEND~15min (15min.lt)~B-ID-4~IP-307~0~0~3~Sim1
InfoAct_id_3885~SEND~15min (15min.lt)~B-ID-4~IP-311~0~0~3~Sim1
InfoAct_id_3886~SEND~15min (15min.lt)~B-ID-4~IP-315~0~0~3~Sim1
InfoAct_id_3887~SEND~15min (15min.lt)~B-ID-4~IP-319~0~0~3~Sim1
InfoAct_id_3888~SEND~15min (15min.lt)~B-ID-4~IP-323~0~0~3~Sim1
InfoAct_id_3889~SEND~15min (15min.lt)~B-ID-4~IP-327~0~0~3~Sim1
InfoAct_id_3890~SEND~15min (15min.lt)~B-ID-4~IP-331~0~0~3~Sim1
InfoAct_id_3891~SEND~15min (15min.lt)~B-ID-4~IP-335~0~0~3~Sim1
InfoAct_id_3892~SEND~15min (15min.lt)~B-ID-4~IP-339~0~0~3~Sim1
InfoAct_id_3893~SEND~15min (15min.lt)~B-ID-17~IP-274~0~0~3~Sim1
InfoAct_id_3894~SEND~15min (15min.lt)~B-ID-17~IP-278~0~0~3~Sim1
InfoAct_id_3895~SEND~15min (15min.lt)~B-ID-17~IP-282~0~0~3~Sim1
InfoAct_id_3896~SEND~15min (15min.lt)~B-ID-17~IP-286~0~0~3~Sim1
InfoAct_id_3897~SEND~15min (15min.lt)~B-ID-17~IP-290~0~0~3~Sim1
InfoAct_id_3898~SEND~15min (15min.lt)~B-ID-17~IP-307~0~0~3~Sim1
InfoAct_id_3899~SEND~15min (15min.lt)~B-ID-17~IP-311~0~0~3~Sim1
InfoAct_id_3900~SEND~15min (15min.lt)~B-ID-17~IP-315~0~0~3~Sim1
InfoAct_id_3901~SEND~15min (15min.lt)~B-ID-17~IP-319~0~0~3~Sim1
InfoAct_id_3902~SEND~15min (15min.lt)~B-ID-17~IP-323~0~0~3~Sim1
InfoAct_id_3903~SEND~15min (15min.lt)~B-ID-17~IP-327~0~0~3~Sim1
InfoAct_id_3904~SEND~15min (15min.lt)~B-ID-17~IP-331~0~0~3~Sim1
InfoAct_id_3905~SEND~15min (15min.lt)~B-ID-17~IP-335~0~0~3~Sim1
InfoAct_id_3906~SEND~15min (15min.lt)~B-ID-17~IP-339~0~0~3~Sim1
InfoAct_id_3907~SEND~15min (15min.lt)~B-ID-23~IP-274~0~0~3~Sim1
InfoAct_id_3908~SEND~15min (15min.lt)~B-ID-23~IP-278~0~0~3~Sim1
InfoAct_id_3909~SEND~15min (15min.lt)~B-ID-23~IP-282~0~0~3~Sim1
InfoAct_id_3910~SEND~15min (15min.lt)~B-ID-23~IP-286~0~0~3~Sim1
InfoAct_id_3911~SEND~15min (15min.lt)~B-ID-23~IP-290~0~0~3~Sim1
InfoAct_id_3912~SEND~15min (15min.lt)~B-ID-23~IP-307~0~0~3~Sim1
InfoAct_id_3913~SEND~15min (15min.lt)~B-ID-23~IP-311~0~0~3~Sim1
InfoAct_id_3914~SEND~15min (15min.lt)~B-ID-23~IP-315~0~0~3~Sim1
InfoAct_id_3915~SEND~15min (15min.lt)~B-ID-23~IP-319~0~0~3~Sim1
InfoAct_id_3916~SEND~15min (15min.lt)~B-ID-23~IP-323~0~0~3~Sim1
InfoAct_id_3917~SEND~15min (15min.lt)~B-ID-23~IP-327~0~0~3~Sim1
InfoAct_id_3918~SEND~15min (15min.lt)~B-ID-23~IP-331~0~0~3~Sim1
InfoAct_id_3919~SEND~15min (15min.lt)~B-ID-23~IP-335~0~0~3~Sim1
InfoAct_id_3920~SEND~15min (15min.lt)~B-ID-23~IP-339~0~0~3~Sim1
InfoAct_id_3921~SEND~15min (15min.lt)~B-ID-24~IP-274~0~0~3~Sim1
InfoAct_id_3922~SEND~15min (15min.lt)~B-ID-24~IP-278~0~0~3~Sim1
InfoAct_id_3923~SEND~15min (15min.lt)~B-ID-24~IP-282~0~0~3~Sim1
InfoAct_id_3924~SEND~15min (15min.lt)~B-ID-24~IP-286~0~0~3~Sim1
InfoAct_id_3925~SEND~15min (15min.lt)~B-ID-24~IP-290~0~0~3~Sim1
InfoAct_id_3926~SEND~15min (15min.lt)~B-ID-24~IP-307~0~0~3~Sim1
InfoAct_id_3927~SEND~15min (15min.lt)~B-ID-24~IP-311~0~0~3~Sim1
InfoAct_id_3928~SEND~15min (15min.lt)~B-ID-24~IP-315~0~0~3~Sim1
InfoAct_id_3929~SEND~15min (15min.lt)~B-ID-24~IP-319~0~0~3~Sim1
